zyNUr4LWfoc	361819	364821	376567	382155
OrJ4rPSlrlI	56426	58696	65741	69175
bh4pXQZjs_4	7256	7389	7576	7692
hD1YtmKXNb4	2559482	2569924	2609181	2629086
f-eK1cgzGF8	1612	1654	1766	1863
zIJEOEZdLzE	106835	109094	115744	119562
1zHVe3NIZpw	1781	1792	1827	1844
J7D3r5Q2paY	4938	5032	5194	5317
7cK1a9C7nlg	239473	250213	275670	287706
n49er3bE7ww	1359	1373	1390	1397
epuGc-ptWmc	4391	4398	4419	4438
9Q71C4IsbZE	65815	66736	68766	69810
a_0PSZ2S_yw	213536	215203	220415	222961
S_nyiXUMzdc	260128	262897	269312	272941
bIGDhqY6KpE	52705	53257	54606	55341
9qRxNYuR2c4	38597	44108	60884	68311
QO7e_RiMVQg	542523	543884	548590	551533
bmjWoPZE_R0	869	993	1101	1138
VIB-S8p16wM	9396	9401	9422	9442
FcmUNlgld74	163960	165625	171456	174247
QQSHT3faRdk	1306	1310	1320	1327
1D3GO4ovibY	4804	4920	5047	5139
jcGrTvgarD0	18604	18910	19615	19906
hJMmweWlDL0	145637	146095	147645	148381
OpOvMwkGL18	87400	121554	163925	184185
DDY6KjQCMoQ	161999	162890	165114	166651
oI_X2cMHNe0	212544	215551	222953	226333
mkAxVJKdFis	1407	1469	1561	1607
pG_as7YjJQs	8092	8127	8168	8212
eV_Ki30MDDA	820976	829956	873076	900445
wah9KtOUWRk	5098	5129	5176	5208
_fpxCuorKjA	66955	70624	80964	84236
vg7ZVaBkpWU	2006	2027	2063	2090
TkTaadb9GmM	239977	240854	243764	244986
epUFyHCLlWg	2678	2757	2908	2986
FIRQSAwF0bI	552172	607089	848486	998773
DmKpePzn5-c	914068	915263	919207	921580
UZeqLhuugQ4	1787	1827	1885	1935
gRvY0xnfgro	2757	2764	2777	2785
4PNWZb5erDw	533	544	554	562
tVr9v3o7iHY	1318091	1324887	1347031	1362314
_dpIwwI86ss	26136	26221	26387	26451
nivl2aepIpM	472	478	492	508
C37nK27J70U	33231	36497	43916	46298
c872m0f00jE	960	964	977	981
tgB1wUcmbbw	1679549	1681019	1687292	1692054
dwzYqLZYfz4	1092	1100	1111	1117
OxvLT83XBfU	1021	1064	1105	1143
F0fMoqY9qI0	1044711	1051813	1062323	1067771
W-ZTiWVFlzU	18101	18270	18742	18834
7PHGvzR3Egs	3111	3123	3154	3168
T79ZSCQ5WEc	1351476	1365058	1403942	1439853
b4F0YBnVdno	30329	30353	30432	30492
jeVqPpWlPxg	1273342	1347675	1683100	1757200
QJ82JUmbK3M	4174	4176	4190	4199
yTV0i9IjesU	12156	12223	12293	12337
tn79OFbPwKE	439334	442030	452255	458261
iH8mWNKM8xU	None	None	None	None
8RPHruM9Oz8	1595	1598	1602	1604
x83Uq20OJNc	2296	2400	2627	2788
yb4kLSp-Us8	72284	73525	76870	78554
hH28oAoyuSw	4424	4473	4566	4640
jg5HbrawYPU	5287	5318	5385	5409
2h4tsI0lTsg	36054	36947	38361	38575
WhL0GJ3dM2s	801	806	824	838
7JGkp6ZrI9o	25253	25279	25341	25412
1BaJdom1MuY	1822	1837	1866	1893
hhEBjQBMcRU	1249	1249	1260	1269
0HPKKFugajE	135148	136090	138659	139855
QlZjtudjVD0	125658	125788	126099	126233
zPOYkJsrewU	155142	156901	161649	164040
DmQ4Dqxs0HI	241364	245166	255543	261493
8xfSL0XLRtQ	260091	268501	294559	307851
uoNuZEP77XY	5281	5312	5365	5385
prPZAbKzAB0	12854	12882	12956	12972
exDlflj0N5s	5378	5461	5589	5678
1mTJYTT-miA	1036	1041	1048	1053
CaTwsdnhECs	990	1002	1026	1042
v2t75tTm_Jc	1780	1784	1796	1806
4vbDFu0PUew	989152	1006707	1071466	1108620
Mu6GtxrZMbk	2270	2526	2795	2923
kntrqdpZ1vk	3339	3348	3363	3371
x-e-Erg5irA	8398	8949	9924	10215
QGae78sWVSw	58894	63834	74840	77932
qD5yKGH6KEk	15534	15575	15638	15681
8pOknzhAuzE	3906	3978	4081	4108
7MClnLA1i40	9470	9483	9531	9561
MnTRG-2WQoU	3202	3211	3234	3251
oSwZ_BckDvc	120805	123977	132992	139138
v17J6GbtvKY	99595	99794	100449	100941
AQbmpecxS2w	45047	47260	52388	56599
-XtToNPFU1E	96994	98274	102059	103583
RMcnH7oawHk	1718	1763	1814	1868
N3ae1mtSK-8	6597	6620	6639	6671
p6sCsOdqXQw	81064	82081	85011	86407
F-yEoHL7MYY	229537	235353	250074	259540
opDbH9m2OTs	3409	3417	3424	3437
YRvf00NooN8	135802	136201	137577	138406
3FajtMuSknA	10116	10135	10199	10213
GGY2mPQwN7c	118185	119620	122436	123950
j3Zjl8AOTYg	6337	6416	6561	6664
IV3dnLzthDA	498831	502188	512316	518340
TV9evdHjvGk	1971	1982	1989	1998
ZoPJVcHYlU0	None	None	None	None
750isJ3Gnjc	1872	2261	2610	2782
1LisgDFk1Lo	291	311	342	368
tQlT9nxnq3A	1083	1086	1102	1110
zL5zAYR666U	3610	3659	3750	3798
pQuk3t2aeBo	250109	252658	260833	264765
SUdHzKRiBX8	73721	75672	81462	84825
gJRoXFRDxuw	4002	4006	4017	4021
L-QNituOKHk	76340	76912	78403	78947
dfaY1dIG-8A	8984	9186	9563	9717
ZQ4E0JJcxz0	127695	128582	131023	132245
vjhbxxTYkpw	32862	40032	46765	48921
4OlfFWDN4C4	18248	18900	20522	21433
pirYs7L4xog	5027227	5063065	5199853	5285515
0TGAjtjlwYk	3763	6774	8041	8411
e0AE2ixKJ3U	1320	1373	1438	1468
nmjcQGEqcFU	46801	47071	47586	47751
uFzuRm3wCDk	51864	52858	55294	56387
O--o-O-ABBw	189556	255804	415119	521833
aZiewBCr1aw	35580	35586	35624	35651
6qTdl75bn0s	4017	4077	4142	4170
VGmTO5DRxII	112423	113022	115814	117398
w1eENwQOp_c	17108	17186	18029	19259
JF8UziDHqZo	82043	84284	89202	90285
lyJqXb8Nj-I	29770	31125	34636	36763
dcZ6bEUPWts	139936	140530	143586	145723
DUqcrdEZopY	147059	149390	158341	162409
zmNxBq4U624	2195	2675	3116	3307
rV0yp9op96Y	2876	2902	2940	2919
9kb5cuLK4n0	386343	433613	581674	618817
2gjKoP5bwbQ	30024	30547	32406	33318
WD6tU_77boA	19027	19276	20062	20427
gwsbCWu3eMM	534	546	552	555
KHOcTG2yCio	33567	33579	33700	33747
csCt0BNYEv8	1501	1509	1529	1546
WxDHDCPcsQ4	2294	2311	2345	2374
B0eTkU4XZ2o	4484	4503	4529	4545
c0AOEQAvZWk	3609584	3609443	3609147	3608800
F0xYQ8bqhGE	2521	2541	2577	2596
tZUCiXCQ6fs	1110	1119	1137	1143
ep57Nj9eWmU	119394	119700	120811	121408
pY9H-uM052U	4797	4874	4998	5051
0lkSqR4vrIQ	35043	46190	55511	58630
d-RVzcnIJPY	544	568	588	604
_iksbUH1aMg	100557	100734	101792	102273
AEzEvxGi7v8	9352	9378	9412	9440
zdBthc6fCk4	150546	151898	154583	155691
m6DXkfnYyr8	2921	3003	3288	3480
oSm3Qo8n0-Q	13734	13767	13820	13846
8dJyRm2jJ-U	6165031	6234085	6476713	6611326
YQpq3nPuiQo	4050	4219	4526	4611
qOY8F_ngNWI	149256	152631	164129	168834
x2hKmKoBpfA	1028	1056	1101	1115
KJmifyfP7x0	2711	2795	2941	2996
iy95PRrxLT4	340405	341721	346398	349050
j1AuFXa_g0o	91671	98063	121863	138262
xn3J2EMqA9g	94830	95035	95637	95927
gLp7NzaRFKA	520	524	540	555
dEbVfBJMoRI	56836	57532	59737	62061
gKp2gh8lUHs	5908	5972	6081	6152
7SoG8bKN8vA	154324	155265	159171	161545
aBrNYazPMic	5961	6000	6144	6203
GEOU7x3w6eU	960	994	1039	1074
V3C4pWwDqps	59706	59853	60287	60505
HD6_0c8Fgnk	3600	3855	4098	4079
_iz5_DuY_II	281462	290040	325182	347525
5NIXKV0l2nI	4419	4483	4603	4669
KYOsPUantFM	190426	190647	191258	191586
tfIoGyst8Z4	4199	4219	4242	4266
7OPg-ksxZ4Y	202517	209570	229261	243357
ifm60phIC9o	943	957	978	988
EUcvdGfGEj0	172110	173237	177110	178934
wpV7OXr7JYo	88233	89519	92653	93640
3Yh_6_zItPU	306044	317276	335949	343833
DBxBr1_BH3Q	748	759	778	784
iS9KPZkRjv0	2061	2082	2136	2155
wNeKvT_24Hk	7369	7389	7434	7463
g9g9Y3BgYMQ	49022	49784	50502	50291
ONj9cvHCado	459276	466056	483097	491388
OR_E8dvyaOI	26362	27151	29099	29684
3PHhl2pa3jo	192933	192977	193152	193225
SaRSqWjErdI	2031	2057	2124	2160
j3OjNEB2wHQ	4963	5003	5095	5148
vD5QcSt6hoo	467	474	483	490
LibS4eBeYFU	3002	3013	3023	3028
qS8Z0dysDDo	1352	1370	1402	1420
aDd_ioNlGLs	39800	40361	42192	43003
ISEC2cqqKgI	15877	16103	16375	16564
O9clzzxE4BM	351117	351514	352564	353300
V7IwNFtZSrs	493	494	498	502
sr1Te1DaGmw	469	471	474	480
pYmRxNjWJj0	1572	1747	1876	1932
oTw8AECmUNA	530019	532515	543941	550902
3xXczgEyp5M	64982	70104	76318	76345
CsvZpHu0O50	945	995	1080	1116
mR1BGC_S8xo	74324	74573	75251	75644
HpcMKZUs2QY	137882	138692	140855	141950
